Video,Blur_Detected,Confidence,Severity,MSS_Score,PAS_Score,Blur_Frames
"The camera orbits around. Acropolis, the camera circles around.-0.mp4",False,0.000,严重模糊,0.000,0.000,0
"The camera orbits around. Airpods Max, the camera circles around.-0.mp4",False,0.000,严重模糊,0.000,0.000,0
